idx,edit_dist,len_match,num_sub,pred_len,label_len,cluster_size,confidence
144,2,True,2,117,117,16,0.9043155908584595
199,3,True,26,117,117,1,0.7294632196426392
271,12,True,36,117,117,9,0.8272899985313416
355,1,True,1,117,117,11,0.920648455619812
814,1,True,1,117,117,10,0.9202582836151123
830,14,True,45,117,117,1,0.6486129760742188
965,2,True,2,117,117,16,0.9061217904090881
1476,5,True,18,117,117,3,0.8922632932662964
1747,3,True,3,117,117,4,0.8960569500923157
1915,2,True,70,117,117,6,0.9140903949737549
2149,8,True,36,117,117,4,0.8607320785522461
2186,1,True,1,117,117,7,0.9187867045402527
2209,4,True,6,117,117,2,0.841523289680481
2339,5,True,9,117,117,4,0.8499482870101929
2733,1,True,1,117,117,5,0.9148678779602051
2898,1,True,1,117,117,16,0.9159460663795471
2903,2,True,2,117,117,2,0.9197700619697571
2919,28,True,46,117,117,2,0.5541914701461792
2960,2,True,9,117,117,4,0.8780821561813354
3019,17,True,48,117,117,1,0.5969561338424683
3219,1,True,1,117,117,1,0.9013602137565613
3358,1,True,1,117,117,16,0.8989073634147644
3360,1,True,1,117,117,7,0.9174604415893555
3452,2,True,4,117,117,16,0.83726966381073
3474,9,True,27,117,117,16,0.7721912264823914
3798,2,True,2,117,117,1,0.9015137553215027
4044,4,True,6,117,117,12,0.8800322413444519
4297,2,True,30,117,117,1,0.715918779373169
4494,1,True,1,117,117,14,0.9202113151550293
4520,1,True,1,117,117,5,0.9202777147293091
4629,5,True,18,117,117,2,0.7629957795143127
4728,1,True,1,117,117,7,0.9171026945114136
4737,1,True,1,117,117,10,0.9166327714920044
