distance,avg_cosine_sim
0,0.0
1,0.546094933606069
2,0.43857534090677897
3,0.4073926070026148
4,0.3999292647163823
5,0.39880597250802174
6,0.3983426222434411
7,0.3995688306938097
8,0.39284564560534907
9,0.387425047619508
10,0.3885240249633789
11,0.3910121547814571
12,0.39041982806458764
13,0.38868139306294547
14,0.387448589404424
15,0.3815459165071186
16,0.3868241667240224
17,0.38252412262783253
18,0.3847223132589589
19,0.3849408646468278
20,0.38248208724127875
21,0.38387337481037953
22,0.3788986535505815
23,0.38460441019343233
24,0.38447591382403706
25,0.38396560466990753
26,0.37822578884306407
27,0.37929433294089443
28,0.3774752928571003
29,0.3724636169716164
30,0.36892931699752807
31,0.36912498956994166
32,0.36668890500679996
33,0.37295971040601855
34,0.37291369714235006
35,0.3719162991841634
36,0.37419319874531515
37,0.3741736270956797
38,0.3750394606590271
39,0.37044712953164544
40,0.3718570720127651
41,0.37529919030009834
42,0.3718464401189019
43,0.3690862443553868
44,0.36492871645725133
45,0.3723255069439228
46,0.3678309501707554
47,0.3652868286011711
48,0.3638581242099885
49,0.3633716556674144
50,0.37247094996770225
51,0.3677936563653461
52,0.3631962649575595
53,0.36141846372370134
54,0.35944264003208704
55,0.36190015255321156
56,0.36236865573459204
57,0.36073648902605165
58,0.3617759000338041
59,0.36557201030207614
60,0.3604780601501465
61,0.3571699082121557
62,0.357818439801534
63,0.3545298663606035
64,0.3586313097373299
65,0.35353019756740994
66,0.34956840721043675
67,0.34733670478643375
68,0.3550860443569365
69,0.36059792169710486
70,0.35710746002197263
71,0.35385616265810454
72,0.35587191506435994
73,0.35072756496635643
74,0.36157411879963347
75,0.3503307819366455
76,0.34183590019450466
77,0.35053552107377484
78,0.35183924227952956
79,0.3418114165336855
80,0.35294785674413043
81,0.3461726844721827
82,0.3494372832775116
83,0.3416299095860234
84,0.3489339035290938
85,0.34989639778137205
86,0.3504637145996094
87,0.3538928888155066
88,0.34528820861469617
89,0.3445258071309044
90,0.3424960315227509
91,0.34540605469753866
92,0.336429187324312
93,0.3297028293329127
94,0.33599386632442474
95,0.33656434567769367
96,0.3470326474734715
97,0.3411193326803354
98,0.33760475198427836
99,0.343406235629862
100,0.3529082095623016
101,0.3647165486547682
102,0.3448041097074747
103,0.33197849426950726
104,0.32289843037724497
105,0.32541800738871096
106,0.29488884016871453
107,0.29898998836676277
108,0.2956265250593424
109,0.2983625424653292
