position,errors,total,error_rate,avg_entropy
0,0,9954,0.0,0.4280502250875027
1,0,9954,0.0,0.42830071344549503
2,0,9954,0.0,0.4278799608777943
3,0,9954,0.0,0.42605429076995144
4,0,9954,0.0,0.4309323263355161
5,0,9954,0.0,0.42826811361497297
6,0,9954,0.0,0.43120427828178076
7,0,9954,0.0,0.42896868902587354
8,0,9954,0.0,0.43005892659242023
9,0,9954,0.0,0.43178530518539654
10,0,9954,0.0,0.4332098571506159
11,0,9954,0.0,0.4338183327326699
12,19,9954,0.001908780389793048,0.4370623958357515
13,31,9954,0.003114325899136026,0.4378839395468748
14,44,9954,0.004420333534257585,0.44046584682182444
15,60,9954,0.006027727546714889,0.43813802095596777
16,76,9954,0.007635121559172192,0.44149483884940166
17,82,9954,0.008237894313843681,0.44348010569900687
18,91,9954,0.009142053445850914,0.4430350943881871
19,105,9954,0.010548523206751054,0.445646420184067
20,106,9954,0.010648985332529635,0.44918802710201744
21,123,9954,0.01235684147076552,0.4469984166020247
22,136,9954,0.01366284910588708,0.4505689326170005
23,159,9954,0.015973477998794453,0.4514257518048025
24,164,9954,0.016475788627687362,0.4523554931467548
25,160,9954,0.016073940124573034,0.4533194260309086
26,198,9954,0.019891500904159132,0.4567029294010528
27,210,9954,0.02109704641350211,0.45648419877683777
28,206,9954,0.020695197910387785,0.45850959728287244
29,233,9954,0.023407675306409484,0.4599067819347242
30,244,9954,0.02451275868997388,0.46138336505723665
31,243,9954,0.024412296564195298,0.46085711278025826
32,277,9954,0.02782800884066707,0.46236352494665006
33,274,9954,0.027526622463331325,0.46395350336393776
34,276,9954,0.027727546714888487,0.4661892533709492
35,305,9954,0.03064094836246735,0.4676716899911347
36,320,9954,0.03214788024914607,0.46950926564174267
37,293,9954,0.029435402853124373,0.4697730313535194
38,322,9954,0.03234880450070324,0.4685855042732023
39,324,9954,0.0325497287522604,0.47279823582671077
40,349,9954,0.03506128189672494,0.47266650217854167
41,344,9954,0.03455897126783203,0.47283508261990925
42,353,9954,0.03546313039983926,0.4737934929546832
43,353,9954,0.03546313039983926,0.47517498058800434
44,362,9954,0.036367289531846494,0.47485831522105665
45,376,9954,0.037773759292746636,0.4770198413645237
46,379,9954,0.038075145670082376,0.4782872217766655
47,391,9954,0.039280691179425356,0.47727642538426795
48,405,9954,0.0406871609403255,0.47815655707498617
49,408,9954,0.040988547317661245,0.4794489976803845
50,418,9954,0.041993168575447055,0.4814206897877104
51,400,9954,0.04018485031143259,0.4771446001854244
52,423,9954,0.042495479204339964,0.47997116116495864
53,414,9954,0.04159132007233273,0.48311760141376703
54,418,9954,0.041993168575447055,0.48070718404912366
55,419,9954,0.04209363070122564,0.478970838097269
56,426,9954,0.04279686558167571,0.4842184355951395
57,421,9954,0.0422945549527828,0.4840854088213876
58,429,9954,0.04309825195901145,0.48302982172406483
59,415,9954,0.04169178219811131,0.4826650514656793
60,419,9954,0.04209363070122564,0.4830940009385006
61,423,9954,0.042495479204339964,0.4848425409863075
62,439,9954,0.04410287321679727,0.4830673474766822
63,416,9954,0.04179224432388989,0.4831048977891197
64,424,9954,0.04259594133011854,0.4848484461185849
65,432,9954,0.0433996383363472,0.4845890450009338
66,418,9954,0.041993168575447055,0.48392110320789783
67,437,9954,0.043901948965240106,0.48427805608718155
68,421,9954,0.0422945549527828,0.4824781988234508
69,426,9954,0.04279686558167571,0.4819978160301988
70,420,9954,0.04219409282700422,0.48349452451072067
71,403,9954,0.040486236688768336,0.4822491670477599
72,455,9954,0.04571026722925457,0.48511390974836843
73,414,9954,0.04159132007233273,0.4823752622366526
74,422,9954,0.04239501707856138,0.48170628513476926
75,400,9954,0.04018485031143259,0.4813885698302673
76,402,9954,0.04038577456298975,0.48011675729422487
77,414,9954,0.04159132007233273,0.47958747027615883
78,392,9954,0.03938115330520394,0.4814703120916082
79,362,9954,0.036367289531846494,0.4772993907143798
80,368,9954,0.03697006228651798,0.4785228111680694
81,383,9954,0.03847699417319671,0.4766568126677509
82,363,9954,0.03646775165762507,0.47568430960094543
83,345,9954,0.034659433393610606,0.47525576116307233
84,347,9954,0.034860357645167775,0.4720015310638756
85,346,9954,0.03475989551938919,0.470921799112377
86,337,9954,0.03385573638738196,0.4687007614376795
87,330,9954,0.033152501506931886,0.4690754569562439
88,333,9954,0.03345388788426763,0.47177815682525875
89,308,9954,0.030942334739803096,0.46661957475957994
90,319,9954,0.03204741812336749,0.46893463154286535
91,304,9954,0.030540486236688768,0.4653878729608563
92,290,9954,0.02913401647578863,0.4670806866687825
93,277,9954,0.02782800884066707,0.4634975581546852
94,271,9954,0.02722523608599558,0.4624742526221951
95,253,9954,0.025416917821981112,0.4591973566741907
96,257,9954,0.02581876632509544,0.4597414300992399
97,238,9954,0.02390998593530239,0.45891266710036777
98,232,9954,0.023307213180630903,0.46025075402836113
99,207,9954,0.020795660036166366,0.45529058856767224
100,204,9954,0.020494273658830622,0.45422456203178635
101,207,9954,0.020795660036166366,0.45420111898427895
102,191,9954,0.01918826602370906,0.45362823360567955
103,171,9954,0.017179023508137433,0.45310580294211755
104,151,9954,0.015169780992565803,0.45468950091966165
105,120,9954,0.012055455093429777,0.45354111385747853
106,86,9954,0.008639742816958007,0.4527103284922905
107,75,9954,0.007534659433393611,0.45789976547958144
108,43,9954,0.0043198714084790035,0.4555344445017511
109,38,9954,0.003817560779586096,0.46952967420864083
